Sample_name	scaffold_name	taxID	tax_name	Avg._log_e-value	species	genus	family	order	class	phylum	kingdom	superkingdom	Avg_fold	Length	Ref_GC	Nr_ORFs	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
SRR7892471	NODE_1_length_52308_cov_89.263100	186803.0	Lachnospiraceae	-23.5940554654989				Clostridiales	Clostridia	Firmicutes		Bacteria	416.711	52308	0.3645	92.0	99.9121	52262	123406	123530	0.3831	273	465.51
SRR7892471	NODE_2_length_25203_cov_40.353896	908937.0	Prevotella dentalis DSM 3688	-450.0	Prevotella dentalis	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes		Bacteria	183.3939	25203	0.4994	16.0	100.0	25203	26161	26125	0.4972	129	173.2
SRR7892471	NODE_3_length_20652_cov_59.915772	2.0	Bacteria	-10.461795041519									296.5925	20652	0.5691	30.0	100.0	20652	35153	35197	0.5658	196	274.31
SRR7892471	NODE_4_length_16003_cov_60.493470	28129.0	Prevotella denticola	-150.991399828238		Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes		Bacteria	278.3272	16003	0.505	10.0	100.0	16003	25256	25201	0.5179	105	676.02
SRR7892471	NODE_5_length_12686_cov_19.981204	1675606.0	Escherichia phage Murica	-450.0	Escherichia virus Murica	Vequintavirus	Myoviridae	Caudovirales				Viruses	88.8125	12686	0.4245	37.0	100.0	12686	6306	6311	0.4214	46	108.49
SRR7892471	NODE_6_length_12624_cov_13.201084	77133.0	uncultured bacterium	-450.0								Bacteria	57.9874	12624	0.4685	12.0	100.0	12624	4146	4132	0.4709	37	65.39
SRR7892471	NODE_7_length_11634_cov_18.879121	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	89.952	11634	0.5795	11.0	99.8797	11620	6041	6025	0.5598	56	99.16
SRR7892471	NODE_8_length_10960_cov_19.614812	2099658.0	Escherichia phage PDX	-450.0		Vequintavirus	Myoviridae	Caudovirales				Viruses	87.5348	10960	0.441	24.0	100.0	10960	5399	5391	0.443	57	97.38
SRR7892471	NODE_9_length_10935_cov_13.243139	2576874.0	Escherichia phage vB_EcoM-ECP32	-450.0		Vequintavirus	Myoviridae	Caudovirales				Viruses	57.2035	10935	0.4269	21.0	99.8903	10923	3465	3476	0.4372	49	42.02
SRR7892471	NODE_11_length_10421_cov_66.529969	2548052.0	Streptococcus phage Javan220	-450.0								Viruses	299.0455	10421	0.3985	15.0	99.8657	10407	17409	17405	0.3975	163	430.47
SRR7892471	NODE_13_length_10294_cov_11.853969	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	56.2246	10294	0.5672	10.0	100.0	10294	3360	3357	0.5559	39	50.92
