Sample_name	scaffold_name	Avg_fold	Length	Ref_GC	Nr_ORFs	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
SRR7892471	NODE_1_length_4426_cov_12.178879	569.2756	4426	0.38	11.0	100.0	4426	14135	14147	0.3899	480	397.07
SRR7892471	NODE_8_length_3306_cov_13.092482	649.85	3306	0.3811	8.0	100.0	3306	12125	12104	0.3877	414	687.06
SRR7892471	NODE_22_length_2799_cov_0.480539	23.5827	2799	0.4212	9.0	99.0354	2772	373	375	0.4306	18	15.52
SRR7892471	NODE_27_length_2699_cov_0.456454	19.4683	2699	0.4887	3.0	96.5172	2605	289	282	0.495	14	16.57
SRR7892471	NODE_32_length_2648_cov_7.037287	323.5332	2648	0.3773	1.0	99.7734	2642	4780	4770	0.3919	119	418.92
SRR7892471	NODE_40_length_2564_cov_1.695117	71.0101	2564	0.3881	2.0	100.0	2564	1016	1010	0.4128	39	78.07
SRR7892471	NODE_41_length_2545_cov_0.583540	29.3246	2545	0.4448	6.0	100.0	2545	433	434	0.4561	13	42.1
SRR7892471	NODE_42_length_2540_cov_0.696229	42.1437	2540	0.5516	4.0	100.0	2540	648	649	0.5604	32	28.55
SRR7892471	NODE_46_length_2512_cov_2.415514	119.8157	2512	0.4797	4.0	100.0	2512	1736	1774	0.5051	84	104.21
SRR7892471	NODE_57_length_2417_cov_1.352838	93.3972	2417	0.3438	3.0	100.0	2417	1361	1360	0.3726	47	106.25
SRR7892471	NODE_71_length_2277_cov_1.334884	57.4805	2277	0.3975	2.0	100.0	2277	743	744	0.4049	49	37.51
SRR7892471	NODE_76_length_2237_cov_11.740758	522.0742	2237	0.346	3.0	100.0	2237	6490	6495	0.377	292	565.35
SRR7892471	NODE_78_length_2233_cov_2.671415	102.8115	2233	0.4617	2.0	100.0	2233	1269	1271	0.4542	71	92.99
SRR7892471	NODE_81_length_2222_cov_0.105489	9.676	2222	0.5117	2.0	100.0	2222	128	128	0.5313	9	5.95
SRR7892471	NODE_85_length_2210_cov_2.372060	94.2312	2210	0.4538	4.0	100.0	2210	1169	1175	0.4653	73	83.33
